en,de,es,fr,it,jp,ko,pt,zh,ru
"We noticed you selected Product as ""Red Hat OpenShift Cluster Manager”. Is your issue related to our SaaS offering at cloud.redhat.com/openshift/ ?","Wir haben festgestellt, dass Sie „Red Hat OpenShift Cluster Manager“ als Produkt ausgewählt haben. Bezieht sich Ihr Problem auf unser SaaS-Angebot unter cloud.redhat.com/openshift/?","Notamos que seleccionó el Producto como ""Administrador de clúster de Red Hat OpenShift”. ¿Su problema está relacionado con nuestra oferta de SaaS en cloud.redhat.com/openshift/?","Nous avons remarqué que vous avez sélectionné le produit ""Red Hat OpenShift Cluster Manager"". Votre problème concerne-t-il notre offre SaaS sur cloud.redhat.com/openshift/ ?",Abbiamo notato che hai selezionato il Prodotto come “Red Hat OpenShift Cluster Manager”. Il tuo problema è legato alla nostra offerta SaaS su cloud.redhat.com/openshift/?,お客様は製品欄で「Red Hat OpenShift Cluster Manager」を選択されました。お客様の問題は cloud.redhat.com/openshift/ の SaaS オファリングに関連していますか?,"선택하신 제품은 ""Red Hat OpenShift Cluster Manager”입니다.  귀하의 문제가 cloud.redhat.com/openshift/에서 제공하는 SaaS 서비스와 관련이 있습니까?","Você selecionou o produto como ""Red Hat OpenShift Cluster Manager"". Seu problema está relacionado à nossa oferta de SaaS em cloud.redhat.com/openshift/?",我们留意到您选择的“产品”为“红帽 OpenShift Cluster Manager”。您的问题是否与我们在 cloud.redhat.com/openshift/ 提供的 SaaS 产品有关？,"Мы заметили, что вы выбрали продукт ""Red Hat OpenShift Cluster Manager"". Ваша проблема связана с нашим предложением SaaS на сайте cloud.redhat.com/openshift/?"
"Yes, Submit (Button)","Ja, Senden (Schaltfläche)","Sí, Submit (Enviar) (botón)","Oui, Soumettre (Bouton)","Sì, Invia (pulsante)",はい、送信,"예, 제출하기 (버튼)","Sim, enviar (botão)",是，提交（按钮）,"Да, отправить (кнопка)"
"No, Go back (Button)","Nein, Zurück (Schaltfläche)","No, Go back (Regresar) (botón)","Non, Revenir en arrière (Bouton)","No, Indietro (pulsante)",いいえ、戻る,"아니요, 돌아가기 (버튼)","Não, voltar (botão)",否，返回（按钮）,"Нет, назад (кнопка)"
Successfully aborted <filename> upload,Upload von <filename> erfolgreich abgebrochen.,Se canceló correctamente la carga de <nombre de archivo>.,Abandon du téléchargement de <nom de fichier>,Caricamento di <filename> interrotto correttamente,<filename> のアップロードが正常に中止されました,<filename> 업로드가 중지되었습니다.,Upload de <filename> interrompido com sucesso,已成功中止 <filename> 上传,Загрузка файла <filename> прервана
Search Discussion,Diskussion durchsuchen,Buscar discusión,Recherche Discussion,Cerca discussione,ディスカッションを検索,토론 검색,Pesquisar discussão,搜索讨论,Искать обсуждение
Search attachments,Anhänge durchsuchen,Buscar archivos adjuntos,Recherche de pièces jointes,Cerca allegati,添付ファイルを検索,첨부 파일 검색,Pesquisar anexos,搜索附件,Искать вложения
Attach file(s),Datei(en) anhängen,Adjuntar archivo(s),Joindre fichier(s),Allega file,ファイルを添付,파일 첨부,Anexar arquivo(s),附加文件,Прикрепить файл(ы)
Invalid Email Address,Ungültige E-Mail-Adresse,Dirección de correo electrónico no válida,Adresse électronique non valide,Indirizzo e-mail non valido,無効なメールアドレス,잘못된 이메일 주소,Endereço de e-mail inválido,电子邮件地址无效,Недействительный адрес электронной почты
Email already subscribed to notifications,Für diese E-Mail-Adresse sind Benachrichtigungen bereits abonniert.,Correo electrónico ya suscrito a notificaciones,Email déjà abonné aux notifications,E-mail già registrata per la ricezione di notifiche,通知サービスに登録済みのメールアドレス,이메일 주소가 이미 알림 등록되어 있습니다.,E-mail já inscrito nas notificações,电子邮件已订阅通知,Электронная адрес уже подписан на уведомления
No new contacts found.,Keine neuen Kontakte gefunden.,No se encontraron nuevos contactos.,Aucun nouveau contact trouvé.,Nessun nuovo contatto trovato.,新しい連絡先は見つかりませんでした。,새로운 연락처를 찾을 수 없습니다.,Nenhum contato novo encontrado.,未找到新的联系方式。,Новых контактов не найдено.
You are a case contact and therefore you cannot be removed as watcher,Sie sind ein Fallkontakt und können daher nicht als Beobachter entfernt werden.,"Usted es un contacto de caso y, por lo tanto, no se puede eliminar como observador.",Vous êtes un contact pour ce cas et ne pouvez donc pas être retiré en tant qu'observateur,"Sei un referente del caso, quindi non puoi essere rimosso come osservatore",お客様はこのケースの連絡先であるため、ウォッチャーから削除することはできません,귀하는 케이스 담당자이므로 감시자에서 제거할 수 없습니다.,"Você é um contato de caso e, portanto, não pode ser removido como observador",您是问题单联系人，因此无法作为旁观者被删除,Вы являетесь контактным лицом и поэтому не можете быть удалены в качестве наблюдателя.
Could not post custom email {{email}},Benutzerdefinierte E-Mail {{email}} konnte nicht veröffentlicht werden.,No se pudo publicar el correo electrónico personalizado {{email}}.,Impossible de poster un email personnalisé {{email}},Impossibile pubblicare l’e-mail personalizzata {{email}},カスタムメールを送信できませんでした {{email}},사용자 지정 이메일을 보낼 수 없습니다. {{email}},Não foi possível publicar o e-mail personalizado {{email}},无法投递自定义电子邮件 {{email}},Не удалось опубликовать пользовательскую электронную почту{{email}}
Could not delete custom email {{email}},Benutzerdefinierte E-Mail {{email}} konnte nicht gelöscht werden.,No se pudo eliminar el correo electrónico personalizado {{email}}.,Impossible de supprimer le courrier électronique personnalisé {{email}},Impossibile eliminare l’e-mail personalizzata {{email}},カスタムメールを削除できませんでした {{email}},사용자 정의 이메일을 삭제할 수 없습니다. {{email}},Não foi possível excluir o e-mail personalizado {{email}},无法删除自定义电子邮件 {{email}},Не удалось удалить пользовательскую электронную почту{{email}}
Could not upload {{filename}}: {{error}},{{filename}} konnte nicht hochgeladen werden: {{error}}.,No se pudo cargar {{filename}}: {{error}}.,Impossible de télécharger {{filename}}: {{error}},Impossibile caricare {{filename}}: {{error}},{{filename}} をアップロードできませんでした: {{error}},업로드할 수 없습니다. {{filename}}: {{error}},Não foi possível fazer upload de {{filename}}: {{error}},无法上传{{filename}}：{{error}},Не удалось загрузить{{filename}}: {{error}}
Your Escalation request has been sent successfully,Ihre Eskalationsanfrage wurde erfolgreich gesendet.,Su solicitud de escalado se ha enviado correctamente.,Votre demande d'escalade a été envoyée avec succès,La tua richiesta di escalation è stata inviata correttamente,エスカレーションリクエストが正常に送信されました,에스컬레이션 요청이 성공적으로 전송되었습니다.,Sua solicitação de encaminhamento foi enviada com sucesso,您的呈报请求已成功发送,Ваш запрос на эскалацию отправлен
Search here to add a user,"Hier suchen, um einen Benutzer hinzuzufügen.",Busque aquí para agregar un usuario.,Cherchez ici pour ajouter un utilisateur,Cerca qui per aggiungere un utente,ここを検索してユーザーを追加します,여기를 검색하여 사용자를 추가하십시오.,Pesquise aqui para adicionar um usuário,在此处搜索以添加用户,"Чтобы добавить пользователя, выполните поиск здесь"
Supportlevel,Support-Level,Nivel de soporte,Niveau de support,Livello di supporto,サポートレベル,지원 수준,Nível de suporte,支持级别,Уровень поддержки
Escalated,Eskaliert,Escalado,Réaffecté à un niveau supérieur,Escalation eseguita,エスカレーション済み,에스컬레이션됨,Encaminhado,已呈报,Выполнена эскалация
No new contacts found,Keine neuen Kontakte gefunden.,No se encontraron nuevos contactos.,Aucun nouveau contact trouvé.,Nessun nuovo contatto trovato,新しい連絡先は見つかりませんでした。,새로운 연락처를 찾을 수 없습니다.,Nenhum contato novo encontrado,未找到新的联系方式,Новых контактов не найдено.
Verifying Upload,Upload wird überprüft,Verificando la carga,Vérification du téléchargement,Verifica del caricamento in corso,アップロードを確認中,업로드 확인 중,Verificando upload,正在验证上传,Проверка загрузки
Selected product <productName> is not entitled for <SubscriptionName> support level.,Das ausgewählte Produkt <productName> ist nicht für Support-Level <SubscriptionName> nicht berechtigt.,El producto seleccionado <productName> no tiene derecho al nivel de soporte <SubscriptionName>.,Le produit sélectionné <nom_du_produit> n'est pas autorisé d’accès pour le niveau de support <nom_de_l'abonnement>.,Il prodotto selezionato <productName> non è idoneo per il livello di supporto <SubscriptionName>.,選択した製品 <productName> には、<SubscriptionName> サポートレベルでのサポートの提供はありません。,선택한 제품 <productName>에 <SubscriptionName> 지원 수준이 제공되지 않습니다.,O produto selecionado <productName> não está qualificado para o nível de suporte <SubscriptionName>.,所选择的产品 <productName> 不享受 <SubscriptionName> 支持级别。,Выбранный продукт <productName> не имеет права на уровень поддержки <SubscriptionName>.
Openshift Cluster ID,OpenShift Cluster-ID,ID de clúster de OpenShift,Openshift Cluster ID,ID cluster Openshift,Openshift Cluster ID,Openshift Cluster ID,ID de cluster do OpenShift,Openshift 集群 ID,ID кластера Openshift
"To help Red Hat use our connected customer tools/services, to debug your cluster in conjunction with your support case, we are requesting that you provide your OpenShift Cluster ID If you are installing or planning your install and don't yet have a cluster ID please leave this field blank.","Geben Sie Ihre OpenShift Cluster-ID an, um Red Hat bei der Nutzung verbundener Kundentools/-dienste zum Debuggen Ihres Clusters in Verbindung mit Ihrem Supportfall zu unterstützen. Wenn Sie eine Installation durchführen oder diese planen und noch keine Cluster-ID haben, lassen Sie dieses Feld leer.","Para ayudar a Red Hat a usar nuestras herramientas/nuestros servicios de clientes conectados, para depurar su clúster junto con su caso de soporte, le solicitamos que proporcione su ID de clúster de OpenShift. Si está instalando o planificando su instalación y aún no tiene una ID de clúster, deje este campo en blanco.","Pour aider Red Hat à utiliser nos outils/services de clients connectés, pour déboguer votre cluster dans le cadre du support de cas, nous vous demandons de fournir votre identifiant OpenShift Client Cluster. Si vous installez ou planifiez votre installation et n'avez pas encore d'identifiant de cluster, veuillez laisser ce champ vide.","Per consentire a Red Hat di utilizzare i nostri strumenti/servizi per i clienti connessi, per eseguire il debug del cluster insieme alla richiesta di supporto, ti chiediamo di fornire l'ID cluster OpenShift. Se stai installando o pianificando la tua installazione e non disponi ancora di un ID cluster, lascia questo campo vuoto.",Red Hat が接続されたカスタマーツール/サービスを使用し、サポートケースとあわせてクラスターをデバッグできるようにするため、お客様には OpenShift Cluster ID を入力するようお願いしております。インストール中、またはインストールを計画中で、OpenShift Cluster ID をまだお持ちでない場合は、このフィールドは空白のままにしてください。,Red Hat이 연결된 고객 툴/서비스를 사용하여 지원 케이스와 함께 클러스터를 디버깅할 수 있도록 Openshift Cluster ID를 입력하도록 요청하고 있습니다. 설치 중이거나 설치 계획 중이며 아직 Openshift Cluster ID가 없는 경우 이 필드를 비워 두십시오.,"Para ajudar a Red Hat a usar nossas ferramentas e serviços conectados para clientes e para depurar seu cluster em conjunto com seu caso de suporte, solicitamos que você forneça sua ID de cluster do OpenShift. Se você estiver instalando ou planejando a instalação e ainda não tiver uma ID de cluster, deixe esse campo em branco.",为便于红帽使用联网客户工具/服务就您的问题单进行集群调试，烦请提供您的 Openshift 集群 ID。如果您正在安装或计划安装，因而还没有集群 ID，请将此字段留空。,"Мы запрашиваем ваш ID кластера Openshift, чтобы облегчить использование ваших инструментов служб, отлаживать кластер и работать с вашим случаем поддержки. Если вы находитесь в процессе установки или только планируете ее и у вас нет ID кластера Openshift, оставьте данное поле пустым."